year,semester,school,code,course,gender,intake
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,FEMALE,37
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C56,DIPLOMA IN FUND MANAGEMENT & ADMINISTRATION,FEMALE,30
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,FEMALE,82
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,FEMALE,18
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,FEMALE,43
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,FEMALE,197
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,FEMALE,56
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,FEMALE,83
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C99,DIPLOMA IN MARKETING,FEMALE,40
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,FEMALE,32
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,FEMALE,26
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,FEMALE,17
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,FEMALE,39
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,FEMALE,43
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,FEMALE,51
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,FEMALE,36
2016,S1,SCHOOL OF DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,FEMALE,50
2016,S1,SCHOOL OF DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,FEMALE,47
2016,S1,SCHOOL OF DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,FEMALE,24
2016,S1,SCHOOL OF ENGINEERING,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,FEMALE,19
2016,S1,SCHOOL OF ENGINEERING,C40,AEROSPACE / MECHATRONICS PROGRAMME,FEMALE,18
2016,S1,SCHOOL OF ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,FEMALE,28
2016,S1,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,FEMALE,75
